Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14006_001,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,SE_A09003_001,SE_A09001_001,SE_A09001_002,SE_A09001_003,SE_A09001_004,SE_A09001_005,SE_A09001_006,SE_A09001_007,SE_A09001_008,SE_A09001_009,SE_A09001_010
"06037101110","Census Tract 1011.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1011.10",,,,4014,4014,9100.317,0.441083510811633,4014,2426,161,8,390,0,397,632,68972,2043,1858,1712,146,49,16,0,12,2,106,3927,176,3751,1633,2571,31,2043,1937,148,330,539,362,339,167,52,106
"06037101122","Census Tract 1011.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1011.22",,,,4164,4164,4078.868,1.02087152527348,4164,2909,76,22,582,0,240,335,118859,2014,1583,1460,123,17,0,0,0,78,336,4161,175,3986,1417,2956,37,2014,1678,75,139,468,351,365,210,70,336
"06037101220","Census Tract 1012.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.20",,,,3481,3481,12900.17,0.269841404670601,3481,1904,0,87,433,0,469,588,65139,1665,1317,1229,88,91,0,0,31,111,115,3481,303,3178,1408,2112,29,1665,1550,247,195,240,334,408,118,8,115
"06037101221","Census Tract 1012.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.21",,,,3756,3756,27466.4,0.136748896133882,3756,2181,101,35,314,0,711,414,53348,1762,1561,1344,217,47,0,0,0,131,23,3703,360,3343,1630,1948,34,1762,1739,27,329,415,484,184,232,68,23
"06037101222","Census Tract 1012.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.22",,,,2808,2808,24527.46,0.114483928110864,2808,1525,15,74,138,37,45,974,36779,1105,972,943,29,36,0,0,59,12,26,2808,219,2589,1516,1119,23,1105,1079,343,220,176,140,31,157,12,26
"06037101300","Census Tract 1013, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1013",,,,4071,4071,4086.003,0.996328168315838,4071,3218,66,0,210,0,174,403,121490,1871,1514,1235,279,29,0,0,0,27,301,4024,118,3906,1828,2699,30,1871,1570,34,497,327,282,301,97,32,301
"06037101400","Census Tract 1014, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1014",,,,3490,3490,1432.485,2.43632634591357,3490,2169,59,0,391,0,304,567,85945,1615,1345,1211,134,32,5,0,0,11,222,3486,289,3197,1435,2215,38,1615,1393,66,294,208,132,427,209,57,222
"06037102103","Census Tract 1021.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.03",,,,1834,1834,4003.44,0.458105983502626,1834,1512,23,0,242,0,12,45,65250,737,618,529,89,10,0,0,26,0,83,1834,64,1770,839,1076,28,737,654,124,71,155,153,95,51,5,83
"06037102104","Census Tract 1021.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.04",,,,4033,4033,6296.887,0.640475168224718,4033,2989,82,10,473,0,65,414,106250,1715,1150,1069,81,39,0,5,49,0,472,4033,254,3779,1574,2595,29,1715,1243,48,390,299,181,129,150,46,472
"06037102105","Census Tract 1021.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.05",,,,1610,1610,8462.278,0.190256093850628,1610,508,9,19,107,6,421,540,92917,747,656,607,49,34,0,0,9,0,48,1610,90,1520,715,941,32,747,699,14,173,88,151,160,113,0,48
"06037102107","Census Tract 1021.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.07",,,,3577,3577,717.6932,4.98402386420323,3577,2571,23,0,356,0,155,472,97778,1546,1410,1251,159,0,0,0,0,0,136,3459,155,3304,1538,2191,36,1546,1410,65,222,365,290,235,196,37,136
"06037103101","Census Tract 1031.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1031.01",,,,2726,2726,3478.316,0.783712511409319,2726,1877,40,0,202,0,219,388,125694,1482,1295,1116,179,0,0,4,0,5,178,2726,248,2478,624,2092,35,1482,1304,85,134,258,369,256,141,61,178
"06037103102","Census Tract 1031.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1031.02",,,,4550,4550,9495.705,0.479163996126623,4550,3346,21,0,367,0,516,300,84750,2096,1831,1680,151,103,0,0,26,16,120,4550,192,4358,1715,2939,40,2096,1976,121,289,369,234,449,298,216,120
"06037103201","Census Tract 1032.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1032.01",,,,4291,4291,5685.339,0.754748284548037,4291,2934,95,0,306,6,85,865,84281,2004,1768,1509,259,0,42,0,11,0,183,4172,380,3792,2102,1972,38,2004,1821,34,504,253,336,243,302,149,183
"06037103202","Census Tract 1032.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1032.02",,,,2010,2010,1098.655,1.8295092486915,2010,1415,19,0,38,0,525,13,112491,850,767,740,27,16,0,0,19,0,48,2005,5,2000,720,1773,35,850,802,44,122,176,105,150,205,0,48
"06037103300","Census Tract 1033, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1033",,,,3816,3816,1609.161,2.37142218419545,3816,2882,105,24,184,0,34,587,133333,1595,1190,1091,99,9,0,0,0,0,396,3816,60,3756,1123,3103,41,1595,1199,3,206,207,337,98,226,122,396
"06037103401","Census Tract 1034.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1034.01",,,,2391,2391,4418.16,0.541175480349716,2391,1593,0,15,476,0,107,200,96884,1144,865,865,0,6,0,0,0,11,262,2391,60,2331,991,1736,25,1144,882,115,124,320,188,107,22,6,262
"06037103402","Census Tract 1034.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1034.02",,,,3829,3829,9022.772,0.424370692064983,3829,2400,371,0,457,0,195,406,113393,1956,1518,1312,206,32,0,0,0,0,406,3776,138,3638,1161,2757,35,1956,1550,57,192,268,554,255,182,42,406
"06037104103","Census Tract 1041.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.03",,,,4281,4281,11682.26,0.366453049203317,4281,1334,561,36,230,0,807,1313,107614,1853,1584,1429,155,13,0,0,0,23,233,4189,447,3742,1709,2369,31,1853,1620,73,402,343,349,191,238,24,233
"06037104105","Census Tract 1041.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.05",,,,6195,6195,27442.23,0.225746991877955,6195,2038,164,63,308,0,2512,1110,58897,2329,1976,1736,240,109,0,0,33,41,170,6193,601,5592,3293,2528,32,2329,2159,118,517,390,467,389,198,80,170
"06037104108","Census Tract 1041.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.08",,,,4962,4962,11719.04,0.42341354477318,4962,1912,298,19,71,0,1364,1298,62639,2101,1848,1608,240,99,0,0,13,10,131,4962,373,4589,2629,2113,34,2101,1970,148,370,303,539,283,246,81,131
"06037104124","Census Tract 1041.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.24",,,,4006,4006,2316.096,1.72963465467794,4006,1974,525,131,330,0,440,606,76071,1696,1443,1366,77,3,0,0,68,0,182,3998,395,3603,1554,2365,36,1696,1514,82,144,434,287,344,160,63,182
"06037104201","Census Tract 1042.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.01",,,,4636,4636,11014.79,0.420888822650916,4636,1215,527,80,172,0,1920,722,93726,2044,1798,1483,315,68,0,0,63,0,115,4636,255,4381,2393,2146,31,2044,1929,20,487,408,525,175,262,52,115
"06037104203","Census Tract 1042.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.03",,,,5182,5182,18956.96,0.273356092769542,5182,1614,205,115,86,0,1987,1175,65000,2181,1972,1372,600,22,0,0,24,11,152,5182,733,4449,2683,2047,27,2181,2029,68,669,465,401,270,156,0,152
"06037104204","Census Tract 1042.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.04",,,,3691,3691,3593.049,1.0272611301674,3691,1555,190,60,202,0,937,747,75179,1423,1346,1039,307,21,0,0,0,0,56,3338,276,3062,1892,1315,29,1423,1367,107,317,249,351,166,174,3,56
"06037104310","Census Tract 1043.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.10",,,,4392,4392,7540.149,0.582481849336754,4392,1299,84,84,8,0,1861,1056,87463,2153,1804,1299,505,58,0,0,0,45,246,4392,645,3747,2180,1783,29,2153,1907,106,499,237,606,232,199,28,246
"06037104321","Census Tract 1043.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.21",,,,2890,2890,14398.32,0.200717918384178,2890,605,50,7,0,0,1390,838,36649,1117,1007,725,282,31,0,0,7,27,45,2890,321,2569,1740,904,39,1117,1072,7,187,106,357,143,203,69,45
"06037104322","Census Tract 1043.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.22",,,,1787,1787,6685.293,0.267303168972211,1787,552,5,8,16,4,773,429,72188,862,668,519,149,58,0,0,25,11,100,1787,395,1392,640,857,26,862,762,20,164,275,160,118,25,0,100
"06037104401","Census Tract 1044.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.01",,,,2977,2977,11320.22,0.26298075512319,2977,906,30,13,38,5,1436,549,69306,1244,1101,988,113,48,18,0,40,11,26,2977,489,2488,1552,1145,31,1244,1218,90,280,209,318,111,172,38,26
"06037104403","Census Tract 1044.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.03",,,,2352,2352,8789.21,0.267600853749129,2352,706,0,0,111,0,1143,392,89653,1191,1013,851,162,6,0,0,25,34,113,2352,349,2003,1051,1096,22,1191,1078,84,376,305,217,46,20,30,113
"06037104404","Census Tract 1044.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.04",,,,3323,3323,15949.24,0.20834845566852,3323,994,0,16,83,0,1547,683,80556,1446,1266,1014,252,104,0,0,24,11,41,3320,524,2796,1673,1215,32,1446,1405,47,349,265,336,209,115,84,41
"06037104500","Census Tract 1045, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1045",,,,3301,3301,16100.79,0.20502102712445,3301,896,2,7,1,0,1269,1126,71058,1424,1168,842,326,137,0,0,48,6,65,3298,240,3058,1859,1321,31,1424,1359,95,340,268,273,163,161,59,65
